Nome Trabalho;Nome Evento Cadastrado;Nome Evento Canônico
Monitoramento Hidrológico da Bacia Hidrográfica no Campus da UFSC em Joinville utilizando a Plataforma EPOSMote III;Anais do XXII Simpósio Brasileiro de Recursos Hídricos;SIMPÓSIO BRASILEIRO DE RECURSOS HÍDRICOS
Space-Time Derivative-Based Prediction: A Novel Trickling Mechanism for WSN;2017 VII Brazilian Symposium on Computing Systems Engineering (SBESC);Brazilian Symposium on Computing System Engineering
Time Synchronization under Temperature and Distance Variations;2017 VII Brazilian Symposium on Computing Systems Engineering (SBESC);Brazilian Symposium on Computing System Engineering
IoT Data Integrity Verification for Cyber-Physical Systems Using Blockchain;2018 IEEE 21st International Symposium on Real-Time Distributed Computing (ISORC);IEEE International Symposium on RealTime Distributed Computing
CHIPS-AHOy;Proceedings of the 18th International Conference on Embedded Computer Systems Architectures, Modeling, and Simulation - SAMOS &amp,apos,18;International Conference on Embedded Computer Systems: Architectures, Modeling and Simulation
Ambient Intelligence for the Internet of Things Through Context-Awareness;2018 International Symposium on Rapid System Prototyping (RSP);IEEE International Symposium on Rapid System Prototyping
Low-Latency Secure Roaming in V2I Networks;2018 VIII Brazilian Symposium on Computing Systems Engineering (SBESC);Brazilian Symposium on Computing System Engineering
Applying Non-destructive Testing and Machine Learning to Ceramic Tile Quality Control;2018 VIII Brazilian Symposium on Computing Systems Engineering (SBESC);Brazilian Symposium on Computing System Engineering
FT-TSTP: A Multi-Gateway Fully Reactive Geographical Routing Protocol to Improve WSN Reliability;2018 IEEE International Conference on Advanced Networks and Telecommunications Systems (ANTS);IEEE International Conference on Advanced Networks and Telecommuncations Systems
IoT Gateway Integrity Checking Protocol;2019 IX Brazilian Symposium on Computing Systems Engineering (SBESC);Brazilian Symposium on Computing System Engineering
Anomaly Detection in Multicore Embedded Systems;2019 IX Brazilian Symposium on Computing Systems Engineering (SBESC);Brazilian Symposium on Computing System Engineering
Perspectives for IoT-Based Integration of Distributed and Automated Manufacturing Lines for Mass Customization;Proceedings on 25th International Joint Conference on Industrial Engineering and Operations Management (IJCIEOM);International Conference on Industrial Engineering and Operations Management
Data Confidence Applied to Wind Turbine Power Curves;Proceedings of the X Brazilian Symposium on Computing Systems Engineering;Brazilian Symposium on Computing System Engineering
A Fault Injection Framework for Real-time Multicore Embedded Systems;Proceedings of the X Brazilian Symposium on Computing Systems Engineering;Brazilian Symposium on Computing System Engineering
R-Extractor: A Method for Data Extraction from Template-Based Entity-Pages;2017 IEEE 41st Annual Computer Software and Applications Conference (COMPSAC);Annual International Computers, Software & Applications Conference
Extracting Records from the Web Using a Signal Processing Approach;Proceedings of the 2017 ACM on Conference on Information and Knowledge Management - CIKM &amp,apos,17;ACM International Conference on Information and Knowledge Management
An Advance Resource Reservation Approach in a Cloud Database Environment;Anais do XVIII Simpósio de Sistemas Computacionais de Alto Desempenho;Simpósio em Sistemas Computacionais de Alto Desempenho
Improving performance in a DBaaS environment through the use of resource reservation;Proceedings of the 19th International Conference on Information Integration and Web-based Applications &amp,amp, Services - iiWAS &amp,apos,17;International Conference on Information Integration and Web-based Applications & Services
Preserving Privacy with Fine-grained Authorization in an Identity Management System;ICN 2017, The Sixteenth International Conference on Networks;INTERNATIONAL CONFERENCE ON NETWORKS
Privacy Token: A Mechanism for User's Privacy Specification in Identity Management Systems for the Cloud;ICN 2017, The Sixteenth International Conference on Networks;INTERNATIONAL CONFERENCE ON NETWORKS
Improving OpenID Connect Federations Interoperability with Web Semantics;2017 IEEE/ACS 14th International Conference on Computer Systems and Applications (AICCSA);ACS/IEEE International Conference on Computer Systems and Applications
Autenticação mútua de nós sensores com nós intermediários para IoT no contexto de Fog Computing;Anais do Workshop de Trabalhos de Iniciação Científica e Graduação (WTG - SBRC 2018);WORKSHOP DE TRABALHOS DE INICIAÇÃO CIENTÍFICA E GRADUAÇÃO
Mutual Authentication for IoT in the Context of Fog Computing;2019 11th International Conference on Communication Systems &amp,amp, Networks (COMSNETS);International Conference on COMmunication Systems & NETworkS
Preserving Privacy with Fine-grained Authorization in an Identity Management System;The Sixteenth International Conference on Networks - ICN 2017;INTERNATIONAL CONFERENCE ON NETWORKS
