SIGLA;Nome Padrão;Qualis 2016
ASONAM;IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining;A2
COLING;International Conference on Computational Linguistics;A2
ECIS;European Conference on Information Systems;A2
ICCNC;International Conference on Computing, Networking and Communications;A2
SANER;IEEE International Conference on Software Analysis, Evolution and Reengineering;A2
ESORICS;European Symposium on Research in Computer Security;A2
ICPR;International Conference on Pattern Recognition;A2
ICSTV;IEEE International Conference on Software Testing, Verification and Validation;A2
IM;IFIP/IEEE International Symposium on Integrated Network Management;A2
AINA;IEEE International Conference on Advanced Information Networking and Applications;A2
BPM;International Conference on Business Process Management;A2
ICAPS;International Conference on Automated Planning and Scheduling;A2
IUI;International Conference on Intelligent User Interfaces;A2
MMSYS;ACM Multimedia Systems Conference;A2
CGO;International Symposium on Code Generation and Optimization;A2
ECIR;European Conference on Information Retrieval;A2
EDM;International Conference on Educational Data Mining;A2
FPL;International Conference on Field-Programmable Logic and Applications;A2
ICME;IEEE International Conference on Multimedia and Expo;A2
MOBIHOC;ACM International Symposium on Mobile Ad Hoc Networking and Computing;A2
NETWORKING;IFIP Networking Conference;A2
TEI;International Conference on Tangible, Embedded and Embodied Interaction;A2
WEBSCI;ACM Web Science Conference;A2
WOWMOM;International Symposium on a World of Wireless, Mobile and Multimedia Networks;A2
CT-RSA;RSA Conference Cryptographers' Track;A2
IWCMC;International Wireless Communications and Mobile Computing Conference;A2
PAM;Passive and Active Network Measurement Conference;A2
AIED;Intternational Conference on Artificial Intelligence in Education;A2
BTAS;IEEE International Conference on Biometrics: Theory, Applications, and Systems;A2
CSF;IEEE Computer Security Foundations Symposium;A2
DEBS;International Conference on Distributed and Event-Based Systems;A2
ICPE;International Conference on Performance Engineering;A2
ISSRE;IEEE International Symposium on Software Reliability Engineering;A2
MSST;IEEE Symposium on Mass Storage Systems and Technologies;A2
NOMS;IEEE/IFIP Network Operations and Management Symposium;A2
SEAMS;International Symposium on Software Engineering for Adaptive and Self-Managing Systems;A2
TRUSTCOM;International Conference on Trust, Security and Privacy in Computing and Communications;A2
AMCIS;Americas Conference on Information Systems;A2
CAISE;International Conference on Advanced Information Systems Engineering;A2
COMPSAC;Annual International Computers, Software & Applications Conference;A2
ECOOP;European Conference on Object-Oriented Programming;A2
ESA;European Symposium on Algorithms;A2
EUSIPCO;European Signal Processing Conference;A2
ICAISC;International Conference on Artificial Intelligence and Soft Computing;A2
ICCD;International Conference on Computer Design;A2
ICPC;International Conference on Program Comprehension;A2
ICWS;IEEE International Conference on Web Services;A2
ISMAR;International Symposium on Mixed and Augmented Reality;A2
ISPASS;IEEE International Symposium on Performance Analysis of Systems and Software;A2
ISWCS;International Symposium on Wireless Communication Systems;A2
MODELS;International Conference on Model Driven Engineering Languages and Systems;A2
PacificVis;IEEE Pacific Visualization Symposium;A2
PAKDD;Pacific-Asia Conference on Knowledge Discovery and Data Mining;A2
RE;IEEE International Requirements Engineering Conference;A2
RTSS;Real-Time Systems Symposium;A2
SIGGRAPH;International Conference and Exibition on Computer Graphics and Interactive Techniques;A2
SMC;IEEE International Conference on Systems, Man and Cybernetics;A2
ASSETS;International ACM SIGACCESS Conference on Computers and Accessibility;A2
CIG;IEEE Conference on Computational Intelligence and Games;A2
CLUSTER;IEEE International Conference on Cluster Computing;A2
COMPGEOM;International Symposium on Computational Geometry;A2
CONCUR;International Conference on Concurrency Theory;A2
CP;International Conference on Principles and Practice of Constraint Programming;A2
DCOSS;International Conference on Distributed Computing in Sensor Systems;A2
ECAI;European Conference on Artificial Intelligence;A2
HT;ACM Conference on Hypertext and Social Media;A2
IISWC;IEEE International Symposium on Workload Characterization;A2
SACRYPT;Workshop on Selected Areas in Cryptography;A2
SAT;International Conference on Theory and Applications of Satisfiability Testing;A2
UMAP;International Conference on User Modeling, Adaptation and Personalization;A2
AVSS;IEEE International Conference on Advanced Video and Signal Based Surveillance;A2
CICC;IEEE Custom Integrated Circuits Conference;A2
CNSM;International Conference on Network and Service Management;A2
CODES+ISSS;International Conference on Hardware/Software Codesign and System Synthesis;A2
COMSNETS;International Conference on COMmunication Systems & NETworkS;A2
ESEM;ACM/IEEE International Symposium on Empirical Software Engineering and Measurement;A2
FCCM;IEEE Annual International Symposium on Field-Programmable Custom Computing Machines;A2
INTERACT;IFIP TC 13 International Conference on Human-Computer Interaction;A2
JCDL;ACM/IEEE Joint Conference on Digital Libraries;A2
