Nome Trabalho;Nome Evento Cadastrado;Nome Evento Canônico
Imbalanced Learning Techniques for Improving the Performance of Statistical Models in Automated Essay Scoring;Proceedings of the 23nd International Conference, KES-2019, Budapest, Hungary;International Conference on Knowledge-Based and Intelligent Information & Engineering Systems
Towards an Extensible Architecture for Ideation;Proceedings of the 23nd International Conference, KES-2019, Budapest, Hungary;International Conference on Knowledge-Based and Intelligent Information & Engineering Systems
Providing a Dynamic Milk-Run Vehicle Routing Using Vehicular Ad hoc Networks;"Proceedings of the 9th ACM Symposium on Design and Analysis of Intelligent Vehicular Networks and Applications - DIVANet &apos;19";ACM Symposium on Development and Analysis of Intelligent Vehicular Networks and Applications
Implementation of Fault Tolerance Techniques for Integrated Network Interfaces;Proceedings of the Latin American CubeSat Workshop (LACW);LATIN AMERICAN CUBESAT WORKSHOP
PRISER;SBCUP - 11º Simpósio Brasileiro de Computação Ubíqua e Pervasiva;Simpósio Brasileiro de Computação Ubíqua e Pervasiva
Análise arquitetural comparativa do desempenho de Redes-em-Chip baseada em simulação;SIMPÓSIO DE SISTEMAS COMPUTACIONAIS DE ALTO DESEMPENHO (WSCAD);Simpósio em Sistemas Computacionais de Alto Desempenho
Multi-device Notifications;Thirteenth International Conference on Mobile Ubiquitous Computing, Systems, Services and Technologies UBICOMM 2019;"UBICOMM-IARIA;IARIA International Conference on Mobile Ubiquitous Computing, Systems, Services and Technologies"
Um Instrumento para Diagnóstico do Pensamento Computacional;VI Congresso Brasileiro de Informática na Educação;Workshops do Congresso Brasileiro de Informática na Educação
A Experiência de Implantação de uma Disciplina Obrigatória de Pensamento Computacional em um Colégio de Educação Básica;VI Congresso Brasileiro de Informática na Educação;Workshops do Congresso Brasileiro de Informática na Educação
Interface de programação tangível para produção de algoritmos sonoros;VII Congresso Brasileiro de Informática na Educação;Workshops do Congresso Brasileiro de Informática na Educação
Ludic practices to support the development of software engineering educational games;XLIV Conferência Latino-americana de Informática - CLEI;Conferencia Latinoamericana de Informática
Inovação em Serviços por Meio da Liderança Transformacional, do Work-Life Balance e da Capacidade de Aprendizagem Organizacional;XXII Seminários em Administração;SEMINÁRIOS EM ADMINISTRAÇÃO
;;
Nome Periódico;Qualis 2020/ISSN Impresso;Qualis 2020/ISSN Online
ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS;A2 - 0001-3765;1678-2690
JOURNAL OF INTERNET SERVICES AND APPLICATIONS;A2 - 1867-4828;1869-0238
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS I-REGULAR PAPERS;1549-8328;A1 - 1558-0806
